Year;Name;Description
2003;Спогади про вбивство;In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.
2012;Темний лицар повертається;Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.
2003;Пірати Карибського моря: Прокляття Чорної перлини;"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
1988;Мій сусід Тоторо;When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.
1975;Щелепи;When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.
2022;Найкращий стрілець: Маверік;After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him.
1988;Новий кінотеатр «Парадізо»;A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
1946;Це дивовижне життя;An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
2002;Місто Бога;In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.
1982;Щось;A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
